Player,Pos,Tm,G,FG,FGA,PTS,Win_Shares,season
Joel Embiid,C,PHI,66,11,20.1,33.1,12.3,2022-23
Luka Dončić,PG,DAL,66,10.9,22,32.4,10.2,2022-23
Damian Lillard,PG,POR,58,9.6,20.7,32.2,9,2022-23
Shai Gilgeous-Alexander,PG,OKC,68,10.4,20.3,31.4,11.4,2022-23
Giannis Antetokounmpo,PF,MIL,63,11.2,20.3,31.1,8.6,2022-23
Jayson Tatum,SF,BOS,74,9.8,21.1,30.1,10.5,2022-23
Stephen Curry,PG,GSW,56,10,20.2,29.4,7.8,2022-23
Kevin Durant,PF,2TM,47,10.3,18.3,29.1,6.8,2022-23
Kevin Durant,PF,2TM,47,10.3,18.3,29.1,5.7,2022-23
Kevin Durant,PF,2TM,47,10.3,18.3,29.1,1.1,2022-23
Kevin Durant,PF,BRK,39,10.5,18.8,29.7,6.8,2022-23
Kevin Durant,PF,BRK,39,10.5,18.8,29.7,5.7,2022-23
Kevin Durant,PF,BRK,39,10.5,18.8,29.7,1.1,2022-23
Kevin Durant,PF,PHO,8,9.1,16,26,6.8,2022-23
Kevin Durant,PF,PHO,8,9.1,16,26,5.7,2022-23
Kevin Durant,PF,PHO,8,9.1,16,26,1.1,2022-23
LeBron James,PF,LAL,55,11.1,22.2,28.9,5.6,2022-23
Donovan Mitchell,SG,CLE,68,10,20.6,28.3,8.9,2022-23
Devin Booker,SG,PHO,53,9.9,20.1,27.8,6,2022-23
Kyrie Irving,SG,2TM,60,9.9,20.1,27.1,7.4,2022-23
Kyrie Irving,SG,2TM,60,9.9,20.1,27.1,4.3,2022-23
Kyrie Irving,SG,2TM,60,9.9,20.1,27.1,3.1,2022-23
Kyrie Irving,PG,BRK,40,10,20.5,27.1,7.4,2022-23
Kyrie Irving,PG,BRK,40,10,20.5,27.1,4.3,2022-23
Kyrie Irving,PG,BRK,40,10,20.5,27.1,3.1,2022-23
Kyrie Irving,SG,DAL,20,9.8,19.2,27,7.4,2022-23
Kyrie Irving,SG,DAL,20,9.8,19.2,27,4.3,2022-23
Kyrie Irving,SG,DAL,20,9.8,19.2,27,3.1,2022-23
Jaylen Brown,SF,BOS,67,10.1,20.6,26.6,5,2022-23
Ja Morant,PG,MEM,61,9.3,19.9,26.2,6,2022-23
Trae Young,PG,ATL,73,8.2,19,26.2,6.7,2022-23
Zion Williamson,PF,NOP,29,9.8,16.2,26,3.6,2022-23
Anthony Davis,C,LAL,56,9.7,17.2,25.9,9,2022-23
