Player,PER,WS,BPM,VORP,season
Mikal Bridges,14.8,4.9,1.0,1.6,2022-23
Mikal Bridges,21.3,2.5,3.3,1.2,2022-23
Anthony Edwards,17.4,3.8,1.0,2.1,2022-23
Zach LaVine,19.0,7.1,1.9,2.7,2022-23
Nikola Vučević,19.1,8.3,2.7,3.2,2022-23
Julius Randle,20.3,8.1,3.7,3.9,2022-23
Domantas Sabonis,23.5,12.6,5.8,5.4,2022-23
Jayson Tatum,23.7,10.5,5.5,5.1,2022-23
Spencer Dinwiddie,16.0,6.3,0.7,1.8,2022-23
Spencer Dinwiddie,16.1,4.3,0.9,1.3,2022-23
Spencer Dinwiddie,15.8,2.0,0.2,0.5,2022-23
Evan Mobley,17.9,8.5,1.7,2.5,2022-23
Dejounte Murray,17.0,4.7,1.0,2.1,2022-23
DeMar DeRozan,20.6,8.5,2.0,2.6,2022-23
Scottie Barnes,15.5,5.0,0.4,1.6,2022-23
Harrison Barnes,14.1,6.5,-1.0,0.7,2022-23
Pascal Siakam,20.3,7.8,3.1,3.4,2022-23
CJ McCollum,15.6,4.3,0.8,1.9,2022-23
Franz Wagner,15.9,5.4,-0.1,1.3,2022-23
Jalen Green,14.5,1.8,-2.1,0.0,2022-23
Bam Adebayo,20.1,7.4,1.5,2.3,2022-23
Trae Young,22.0,6.7,3.3,3.4,2022-23
Fred VanVleet,17.0,6.5,2.5,2.9,2022-23
Buddy Hield,15.4,4.4,1.9,2.4,2022-23
RJ Barrett,12.9,2.2,-3.1,-0.7,2022-23
Jordan Poole,14.6,3.2,-1.9,0.1,2022-23
Josh Hart,14.1,6.0,0.9,1.8,2022-23
Josh Hart,12.7,3.2,-0.2,0.8,2022-23
Josh Hart,17.1,2.8,3.4,1.0,2022-23
Jabari Smith Jr.,11.2,1.9,-3.7,-1.1,2022-23
Trey Murphy III,15.2,7.6,1.8,2.3,2022-23
Darius Garland,18.8,7.6,2.4,2.7,2022-23
Tobias Harris,14.8,5.9,0.7,1.7,2022-23
De'Aaron Fox,21.8,7.4,2.5,2.7,2022-23
Donovan Mitchell,22.9,8.9,6.3,5.0,2022-23
Paolo Banchero,14.9,2.4,-1.5,0.3,2022-23
Jaden McDaniels,12.0,4.4,-1.2,0.5,2022-23
Shai Gilgeous-Alexander,27.2,11.4,7.3,5.6,2022-23
Royce O'Neale,9.2,2.9,-1.1,0.5,2022-23
Jaylen Brown,19.1,5.0,1.3,2.0,2022-23
Luka Dončić,28.7,10.2,8.9,6.6,2022-23
OG Anunoby,14.6,4.7,0.4,1.5,2022-23
Keegan Murray,12.3,4.3,-0.6,0.8,2022-23
Kentavious Caldwell-Pope,11.5,4.5,-1.0,0.6,2022-23
P.J. Washington,12.9,2.6,-1.3,0.4,2022-23
Jalen Brunson,21.2,8.7,3.9,3.5,2022-23
Brook Lopez,18.4,8.0,2.1,2.5,2022-23
Josh Giddey,17.1,4.0,1.2,1.9,2022-23
Reggie Bullock,7.7,2.8,-2.6,-0.4,2022-23
Immanuel Quickley,16.3,6.7,1.7,2.1,2022-23
Tyler Herro,15.3,3.5,0.6,1.6,2022-23
Patrick Williams,11.2,3.5,-1.3,0.4,2022-23
Nikola Jokić,31.5,14.9,13.0,8.8,2022-23
Derrick White,15.4,7.4,2.4,2.6,2022-23
Jaden Ivey,12.1,0.0,-3.3,-0.7,2022-23
D'Angelo Russell,16.3,5.1,1.5,2.0,2022-23
D'Angelo Russell,16.1,3.8,1.2,1.4,2022-23
D'Angelo Russell,17.1,1.3,2.4,0.6,2022-23
Draymond Green,12.2,4.7,0.8,1.6,2022-23
KJ Martin,15.4,4.9,-0.7,0.7,2022-23
Joel Embiid,31.4,12.3,9.2,6.4,2022-23
Bruce Brown,13.3,4.3,-0.5,0.9,2022-23
Klay Thompson,14.7,3.1,-0.3,1.0,2022-23
Jalen Williams,15.6,5.6,0.3,1.3,2022-23
Lauri Markkanen,22.1,8.2,3.8,3.3,2022-23
Max Strus,10.8,3.4,-1.7,0.2,2022-23
Luguentz Dort,11.3,2.9,-3.0,-0.6,2022-23
Nic Claxton,20.8,9.2,3.1,2.9,2022-23
Jerami Grant,16.0,4.1,-0.2,1.0,2022-23
Kyrie Irving,22.4,7.4,4.1,3.5,2022-23
Kyrie Irving,21.6,4.3,3.8,2.2,2022-23
Kyrie Irving,24.0,3.1,4.9,1.3,2022-23
Kyle Kuzma,14.3,0.9,-1.7,0.2,2022-23
Caris LeVert,12.4,4.4,-0.2,1.0,2022-23
Bennedict Mathurin,13.1,1.8,-3.7,-1.0,2022-23
Terry Rozier,14.7,1.7,-0.6,0.8,2022-23
Jarrett Allen,19.9,9.5,2.4,2.4,2022-23
Dillon Brooks,9.4,1.6,-3.9,-1.1,2022-23
Kevin Huerter,15.2,4.9,1.0,1.7,2022-23
Jrue Holiday,19.2,6.7,3.1,2.8,2022-23
Alperen Şengün,19.7,5.2,1.4,1.9,2022-23
Anfernee Simons,14.8,2.5,-1.1,0.5,2022-23
Ivica Zubac,16.7,6.7,-0.9,0.6,2022-23
Killian Hayes,10.2,-0.5,-3.8,-1.0,2022-23
Tim Hardaway Jr.,12.1,2.3,-1.8,0.1,2022-23
De'Anthony Melton,12.7,4.2,0.9,1.6,2022-23
Rudy Gobert,18.9,7.8,0.7,1.4,2022-23
Jimmy Butler,27.6,12.3,8.7,5.8,2022-23
James Harden,21.6,8.4,5.4,4.0,2022-23
Jamal Murray,18.0,5.1,1.3,1.8,2022-23
John Collins,13.6,4.2,-1.3,0.4,2022-23
Saddiq Bey,14.6,3.9,-0.3,0.9,2022-23
Saddiq Bey,14.3,2.3,-0.7,0.5,2022-23
Saddiq Bey,15.2,1.6,0.5,0.4,2022-23
De'Andre Hunter,11.5,2.5,-3.3,-0.7,2022-23
Russell Westbrook,16.1,1.9,0.2,1.2,2022-23
Russell Westbrook,15.3,0.7,-0.1,0.7,2022-23
Russell Westbrook,17.8,1.2,0.8,0.5,2022-23
Quentin Grimes,11.7,4.8,-0.1,1.0,2022-23
Kristaps Porziņģis,23.1,7.7,4.3,3.4,2022-23
Gary Trent Jr.,15.0,4.5,0.2,1.2,2022-23
Damian Lillard,26.7,9.0,7.1,4.9,2022-23
Ayo Dosunmu,10.2,2.9,-2.5,-0.2,2022-23
Corey Kispert,11.5,3.8,-1.5,0.2,2022-23
Malik Beasley,10.9,1.4,-2.0,0.0,2022-23
Malik Beasley,11.5,1.2,-1.6,0.2,2022-23
Malik Beasley,9.7,0.2,-2.9,-0.1,2022-23
Caleb Martin,11.4,3.7,-1.2,0.4,2022-23
Andrew Nembhard,10.0,1.2,-3.2,-0.6,2022-23
Keldon Johnson,15.3,1.3,-1.8,0.1,2022-23
Aaron Gordon,19.5,6.8,2.1,2.1,2022-23
Mason Plumlee,19.6,7.9,2.2,2.2,2022-23
Mason Plumlee,20.0,6.1,2.4,1.8,2022-23
Mason Plumlee,18.2,1.8,1.4,0.4,2022-23
Grant Williams,10.3,4.4,-1.1,0.5,2022-23
Deandre Ayton,19.9,6.2,0.9,1.5,2022-23
Mike Conley,14.7,5.5,0.9,1.5,2022-23
Mike Conley,13.9,3.0,0.2,0.7,2022-23
Mike Conley,16.1,2.5,2.0,0.7,2022-23
Giannis Antetokounmpo,29.0,8.6,8.5,5.4,2022-23
Kevin Porter Jr.,16.2,2.9,0.6,1.3,2022-23
Deni Avdija,11.2,2.3,-2.3,-0.1,2022-23
Tyrese Maxey,17.0,5.4,0.6,1.3,2022-23
Dorian Finney-Smith,9.2,2.1,-2.0,0.0,2022-23
Dorian Finney-Smith,10.0,1.7,-1.1,0.3,2022-23
Dorian Finney-Smith,7.7,0.4,-3.7,-0.3,2022-23
Jordan Clarkson,14.7,1.7,-1.4,0.3,2022-23
Dennis Schröder,11.5,2.8,-2.9,-0.4,2022-23
Tre Jones,16.0,3.4,-1.0,0.5,2022-23
Grayson Allen,12.3,5.1,0.1,1.0,2022-23
Jonas Valančiūnas,19.3,5.8,-0.4,0.8,2022-23
Eric Gordon,11.8,2.3,-1.9,0.1,2022-23
Eric Gordon,11.4,1.1,-2.6,-0.2,2022-23
Eric Gordon,13.1,1.2,0.0,0.3,2022-23
Kevon Looney,17.8,8.7,2.1,2.0,2022-23
Kyle Anderson,14.8,5.1,2.5,2.2,2022-23
Marcus Smart,12.1,3.7,-1.0,0.5,2022-23
LeBron James,23.9,5.6,6.1,4.0,2022-23
Herbert Jones,12.1,4.2,-0.3,0.8,2022-23
Torrey Craig,11.6,4.0,-0.6,0.7,2022-23
Ja Morant,23.3,6.0,5.7,3.8,2022-23
Kelly Olynyk,14.4,4.3,0.4,1.2,2022-23
Stephen Curry,24.1,7.8,7.5,4.7,2022-23
Tyus Jones,16.0,5.7,1.6,1.7,2022-23
Paul George,19.6,4.6,2.8,2.3,2022-23
Al Horford,13.8,6.3,3.3,2.5,2022-23
P.J. Tucker,5.7,2.5,-3.0,-0.5,2022-23
Jalen McDaniels,11.8,2.7,-2.1,-0.1,2022-23
Jalen McDaniels,11.6,1.8,-2.0,0.0,2022-23
Jalen McDaniels,12.5,1.0,-2.6,-0.1,2022-23
Jakob Poeltl,21.0,6.0,1.9,1.9,2022-23
Jakob Poeltl,19.7,2.9,0.9,0.9,2022-23
Jakob Poeltl,23.1,3.1,3.6,1.0,2022-23
Anthony Davis,27.8,9.0,6.3,4.0,2022-23
Donte DiVincenzo,12.8,4.2,0.7,1.3,2022-23
Bojan Bogdanović,17.4,3.5,0.8,1.4,2022-23
Chris Paul,17.7,6.2,3.2,2.5,2022-23
Tyrese Haliburton,23.6,7.6,7.2,4.4,2022-23
Jarred Vanderbilt,15.1,5.2,1.1,1.5,2022-23
Jarred Vanderbilt,16.0,3.6,1.5,1.1,2022-23
Jarred Vanderbilt,13.2,1.5,0.2,0.4,2022-23
Terance Mann,13.4,4.3,-0.2,0.8,2022-23
Troy Brown Jr.,9.6,2.9,-1.0,0.5,2022-23
Onyeka Okongwu,19.4,7.1,0.8,1.3,2022-23
Austin Reaves,14.9,5.4,0.7,1.2,2022-23
Desmond Bane,19.1,5.8,3.5,2.5,2022-23
Devin Booker,22.0,6.0,4.2,2.9,2022-23
Marcus Morris,10.5,2.0,-1.9,0.0,2022-23
Myles Turner,20.0,5.4,2.1,1.9,2022-23
Bobby Portis,17.8,5.3,0.7,1.2,2022-23
Aaron Nesmith,10.5,2.0,-3.0,-0.4,2022-23
Patrick Beverley,8.9,3.0,-1.2,0.3,2022-23
Patrick Beverley,8.3,1.8,-1.8,0.1,2022-23
Patrick Beverley,10.1,1.2,-0.2,0.3,2022-23
Jevon Carter,10.9,3.5,-0.6,0.6,2022-23
Michael Porter Jr.,16.8,4.3,0.2,1.0,2022-23
Naji Marshall,11.4,2.5,-1.9,0.1,2022-23
Jaren Jackson Jr.,21.6,6.6,2.8,2.2,2022-23
Shaedon Sharpe,11.5,1.2,-3.3,-0.6,2022-23
Markelle Fultz,16.6,3.7,0.5,1.2,2022-23
Tari Eason,15.2,2.6,-1.7,0.1,2022-23
Gabe Vincent,9.0,1.4,-3.4,-0.6,2022-23
Kawhi Leonard,23.9,7.1,6.1,3.5,2022-23
Malcolm Brogdon,18.2,5.8,2.8,2.1,2022-23
Christian Wood,20.6,4.8,1.7,1.6,2022-23
Coby White,12.5,3.1,-0.8,0.5,2022-23
Clint Capela,22.1,7.2,2.2,1.8,2022-23
Malik Monk,16.6,3.2,0.3,1.0,2022-23
Kyle Lowry,12.6,3.4,0.2,0.9,2022-23
Nicolas Batum,11.0,3.6,0.5,1.0,2022-23
Walker Kessler,21.5,7.1,2.9,2.1,2022-23
Monte Morris,15.0,4.2,0.5,1.1,2022-23
Wendell Carter Jr.,17.3,4.6,1.0,1.3,2022-23
Santi Aldama,13.9,4.6,0.5,1.1,2022-23
Bradley Beal,19.7,3.4,1.8,1.6,2022-23
Kevin Durant,25.9,6.8,7.1,3.9,2022-23
Kevin Durant,26.2,5.7,7.0,3.2,2022-23
Kevin Durant,24.3,1.1,8.0,0.7,2022-23
Jalen Duren,17.3,4.5,-0.8,0.5,2022-23
Reggie Jackson,10.0,0.6,-3.9,-0.8,2022-23
Reggie Jackson,10.3,0.6,-3.7,-0.6,2022-23
Reggie Jackson,9.0,0.1,-5.1,-0.3,2022-23
Isaac Okoro,10.7,4.2,-0.3,0.7,2022-23
Isaiah Hartenstein,14.2,4.6,-0.3,0.7,2022-23
Daniel Gafford,19.7,6.1,1.0,1.2,2022-23
Mitchell Robinson,18.9,6.5,2.4,1.7,2022-23
Drew Eubanks,16.2,4.4,0.1,0.8,2022-23
Gordon Hayward,13.5,2.0,-1.4,0.2,2022-23
Alex Caruso,11.5,3.6,1.1,1.2,2022-23
Shake Milton,12.7,2.9,-2.0,0.0,2022-23
Norman Powell,17.1,3.5,0.3,0.9,2022-23
Cole Anthony,16.0,3.7,1.3,1.3,2022-23
Malaki Branham,9.5,-0.1,-5.2,-1.3,2022-23
Cedi Osman,12.0,3.3,-0.7,0.5,2022-23
Kelly Oubre Jr.,14.8,1.7,-1.1,0.3,2022-23
Josh Green,11.2,2.6,-2.4,-0.2,2022-23
Brandon Ingram,19.2,3.5,1.7,1.5,2022-23
Josh Richardson,12.3,1.8,-1.2,0.3,2022-23
Josh Richardson,13.6,1.0,-1.1,0.2,2022-23
Josh Richardson,9.9,0.8,-1.3,0.1,2022-23
Joe Harris,10.6,2.6,-1.1,0.3,2022-23
T.J. McConnell,16.8,3.1,0.5,1.0,2022-23
Chris Boucher,18.0,5.0,-0.1,0.7,2022-23
Georges Niang,10.9,2.5,-1.4,0.2,2022-23
Bogdan Bogdanović,14.2,2.8,0.5,0.9,2022-23
